rating,title,author,fname,lname,date,language
****,freedom,jonathan franzen,jonathan,franzen,8/12/12,english
**,passage to india,e.m. forster,e.m.,forster,9/14/12,english
****,story of your life,ted chiang,ted,chiang,10/2/12,english
***,nadja,andrÃ© breton,andrÃ©,breton,10/3/12,english
*****,portrait of mr w.h.,oscar wilde,oscar,wilde,10/28/12,english
**,peuple du ciel,j.m.g. le clÃ©zio,j.m.g.,le clÃ©zio,10/30/12,french
***,ragtime,e.l. doctorow,e.l.,doctorow,11/2/12,english
***,end of the affair,graham greene,graham,greene,11/8/12,english
**,invisible,paul auster,paul,auster,11/10/12,english
****,ficciones,jorge luis borges,jorge,luis borges,11/20/12,spanish
***,70% acrylic 30% wool,viola di grado,viola,di grado,12/12/12,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,1/1/13,english
***,book thief,markus zusak,markus,zusak,1/9/13,english
****,austerlitz,w.g. sebald,w.g.,sebald,2/10/13,english
****,dubliners,james joyce,james,joyce,3/7/13,english
***,historia universal de la infamia,jorge luis borges,jorge,luis borges,3/13/13,spanish
***,brave new world,aldous huxley,aldous,huxley,3/30/13,english
****,great gatsby,f. scott fitzgerald,f.,scott fitzgerald,4/9/13,english
***,perks of being a wallflower,stephen chbosky,stephen,chbosky,4/11/13,english
***,new york trilogy,paul auster,paul,auster,4/28/13,english
****,age of innocence,edith wharton,edith,wharton,5/8/13,english
***,revised fundamentals of caregiving,jonathan evison,jonathan,evison,5/26/13,english
****,second world war,antony beevor,antony,beevor,5/30/13,english
***,too big to fail,andrew ross sorkin,andrew,ross sorkin,6/19/13,english
***,samarkand,amin maalouf,amin,maalouf,6/26/13,english
***,marriage plot,jeffrey eugenides,jeffrey,eugenides,6/30/13,english
****,little prince,antoine de Saint-ExupÃ©ry,antoine,de Saint-ExupÃ©ry,7/9/13,english
****,de niro's game,rawi hage,rawi,hage,7/9/13,english
**,inferno,dan brown,dan,brown,7/12/13,english
****,eating animals,jonathan safran foer,jonathan,safran foer,7/22/13,english
****,gone girl,gillian flynn,gillian,flynn,8/5/13,english
***,gospel of judas,simon mawer,simon,mawer,8/20/13,english
****,naked economics,charles wheelan,charles,wheelan,8/26/13,english
**,locust and the bird,hanan al-shaykh,hanan,al-shaykh,9/13/13,english
**,scarcity,sendhil mullainathan and eldar shafir,sendhil,mullainathan and eldar shafir,9/25/13,english
****,emperor of all maladies,siddhartha mukherjee,siddhartha,mukherjee,10/3/13,english
***,immortal life of henrietta lacks,rebecca skloot,rebecca,skloot,10/7/13,english
****,rational choice,itzhak gilboa,itzhak,gilboa,10/25/13,english
****,rosencranz and guildenstern are dead,tom stoppard,tom,stoppard,10/26/13,english
****,never let me go,kazuo ishiguro,kazuo,ishiguro,10/27/13,english
****,better,atul gawande,atul,gawande,11/10/13,english
***,man in the dark,paul auster,paul,auster,12/4/13,english
****,heart is a lonely hunter,carson mccullers,carson,mccullers,12/19/13,english
*****,yellow birds,kevin powers,kevin,powers,1/1/14,english
**,paradox of choice,barry schwartz,barry,schwartz,1/3/14,english
****,americanah,chimamanda ngozi adichie,chimamanda,ngozi adichie,2/24/14,english
***,bad science,ben goldacre,ben,goldacre,3/5/14,english
***,civilwarland in bad decline,george saunders,george,saunders,3/18/14,english
**,plot against america,philip roth,philip,roth,3/20/14,english
*****,heart of the matter,graham greene,graham,greene,3/23/14,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,4/29/14,english
*****,crÃ_nica de una muerte anunciada,gabriel garcÃ_a mÃ¡rquez,gabriel,garcÃ_a mÃ¡rquez,4/30/14,spanish
****,no place to hide,glenn greenwald,glenn,greenwald,5/20/14,english
****,bengal nights,mircea eliade,mircea,eliade,6/2/14,english
*****,sophie's choice,william styron,william,styron,6/21/14,english
***,power and the glory,graham greene,graham,greene,7/13/14,english
****,half the sky,nicholas kristoff and sheryl wudunn,nicholas,kristoff and sheryl wudunn,8/20/14,english
***,let the great world spin,colum mccann,colum,mccann,9/2/14,english
***,pictures at an exhibition,d.m. thomas,d.m.,thomas,11/1/14,english
***,goldfinch,donna tartt,donna,tartt,11/16/14,english
***,physics of wall street,james owen weatherall,james,owen weatherall,12/1/14,english
***,flash boys,michael lewis,michael,lewis,12/28/14,english
***,into thin air,jon krakauer,jon,krakauer,12/29/14,english
***,idealist,nina munk,nina,munk,1/16/15,english
***,warmth of other suns,isabel wilkerson,isabel,wilkerson,2/1/15,english
***,elephant vanishes,haruki murakami,haruki,murakami,2/6/15,english
***,yom kippur war,abraham rabinovich,abraham,rabinovich,4/8/15,english
****,tenth of december,george saunders,george,saunders,4/12/15,english
***,in cold blood,truman capote,truman,capote,5/10/15,english
*****,new jim crow,michelle alexander,michelle,alexander,5/7/15,english
****,childhood's end,arthur c. clarke,arthur c.,clarke,6/18/15,english
**,primary colors,anonymous,,anonymous,7/8/15,english
**,poor economics,abhijit banerjee and esther duflo,abhijit,banerjee and esther duflo,7/25/15,english
***,postman always rings twice,james m. cain,james m.,cain,8/8/15,english
*****,season of migration to the north,tayib saleh,tayib,saleh,8/12/15,english
***,time's arrow,martin amis,martin,amis,8/16/15,english
,iliad,homer,,homer,9/19/06,english
,odyssey,homer,,homer,9/20/06,english
,orestaia,aeschylus,,aeschylus,9/26/06,english
,oedipus at colonus,sophocles,,sophocles,9/27/06,english
,antigone,sophocles,,sophocles,9/27/06,english
,frogs,euripides,,euripides,9/28/06,english
,bacchae,euripides,,euripides,9/28/06,english
,symposium,plato,,plato,10/4/06,english
,phaedrus,plato,,plato,10/4/06,english
,nicomachean ethics,aristotle,,aristotle,10/10/06,english
,aeneid,vergil,,vergil,10/18/06,english
,meditations,marcus aurelius,marcus,aurelius,10/24/06,english
,confessions,augustine,,augustine,11/16/06,english
,consolation of philosophy,boethius,,boethius,11/21/06,english
,song of roland,anonymous,,anonymous,11/29/06,english
,lais of marie de france,marie de france,marie,de france,11/30/06,english
,inferno,dante alighieri,dante,alighieri,12/12/06,english
,purgatorio,dante alighieri,dante,alighieri,12/13/06,english
,paradiso,dante alighieri,dante,alighieri,12/13/06,english
,prince,machiavelli,,machiavelli,2/8/07,english
,courtier,castiglione,,castiglione,2/13/07,english
,praise of folly,desiderius erasmus,desiderius,erasmus,2/15/07,english
,three treatises,martin luther,martin,luther,2/15/07,english
,essais,michel de montaigne,michel de,montaigne,2/20/07,english
,don quixote,miguel cervantes,miguel,cervantes,2/22/07,english
,discourse on methods & meditations,renee descartes,renee,descartes,2/27/07,english
,tartuffe,moliÃ¨re,,moliÃ¨re,3/1/07,english
,phÃ¨dre,racine,,racine,3/1/07,english
