rating,title,author,fname,lname,date,language
*****,snow crash,neal stephenson,neal,stephenson,9/10/2010,english
****,el aleph,jorge luis borges,jorge,luis borges,9/12/2010,spanish
***,american pastoral,philip roth,philip,roth,9/18/2010,english
***,middlesex,jeffrey eugenides,jeffrey,eugenides,10/3/2010,english
***,tenth parallel,eliza griswold,eliza,griswold,10/20/2010,english
****,love & sleep,john crowley,john,crowley,10/28/2010,english
*****,cien años de soledad,gabriel garcía márquez,gabriel,garcía márquez,10/30/2010,spanish
**,netherland,joseph o'neill,joseph,o'neill,11/3/2010,english
***,girl who kicked the hornet's nest,stieg larsson,stieg,larsson,11/14/2010,english
***,sheltering sky,paul bowles,paul,bowles,11/19/2010,english
**,lost symbol,dan brown,dan,brown,11/27/2010,english
****,a problem from hell,samantha power,samantha,power,12/10/2010,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,12/13/2010,english
****,here is new york,e.b. white,e.b.,white,12/17/2010,english
**,hour of the star,clarice lispector,clarice,lispector,12/19/2010,english
*****,crónica de una muerte anunciada,gabriel garcía márquez,gabriel,garcía márquez,1/1/2011,spanish
***,gambler,fyodor dostoyevsky,fyodor,dostoyevsky,1/8/2011,english
**,stranger in a strange land,robert heinlein,robert,heinlein,1/9/2011,english
***,llano en llamas,juan rulfo,juan,rulfo,1/11/2011,spanish
****,pedro páramo,juan rulfo,juan,rulfo,1/26/2011,spanish
****,muerte de artemio cruz,carlos fuentes,carlos,fuentes,2/7/2011,spanish
**,daemonomania,john crowley,john,crowley,2/9/2011,english
**,my name is red,orhan pamuk,orhan,pamuk,3/1/2011,english
***,midnight in the garden of good and evil,john berendt,john,berendt,3/6/2011,english
***,mayor of casterbridge,thomas hardy,thomas,hardy,3/30/2011,english
***,barbarians at the gate,bryan burrough and john helyar,bryan,burrough and john helyar,5/26/2011,english
****,big short,michael lewis,michael,lewis,6/4/2011,english
***,sons and lovers,d.h. lawrence,d.h.,lawrence,6/12/2011,english
****,watchmen,alan moore and dave gibbons,alan,moore and dave gibbons,6/30/2011,english
***,shadow of the wind,carlos ruiz zafón,carlos,ruiz zafón,6/30/2011,english
**,intruder in the dust,wm faulkner,wm,faulkner,7/7/2011,english
****,lost books of the odyssey,zachary mason,zachary,mason,7/16/2011,english
***,good soldier,ford madox ford,ford,madox ford,8/10/2011,english
***,american gods,neil gaiman,neil,gaiman,8/23/2011,english
***,mysterious stranger,mark twain,mark,twain,9/2/2011,english
**,tipping point,malcolm gladwell,malcolm,gladwell,9/3/2011,english
***,for whom the bell tolls,ernest hemingway,ernest,hemingway,10/6/2011,english
***,wisdom of crowds,james surowiewski,james,surowiewski,10/20/2011,english
****,i`jaam,sinan antoon,sinan,antoon,11/13/2011,english
*****,white hotel,d.m. thomas,d.m.,thomas,11/19/2011,english
**,bestiario,julio cortázar,julio,cortázar,11/20/2011,spanish
**,secret son,laila lalami,laila,lalami,12/13/2011,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,12/18/2011,english
**,wedding of zein,tayeb salih,tayeb,salih,12/25/2011,english
****,"thinking, fast and slow",daniel kahneman,daniel,kahneman,1/15/2012,english
****,a brief history of time,stephen hawking,stephen,hawking,2/14/2012,english
***,"rabbit, run",john updike,john,updike,2/26/2012,english
**,subway chronicles,jacquelin cangro,jacquelin,cangro,3/10/2012,english
***,with liberty and justice for some,glenn greenwald,glenn,greenwald,3/27/2012,english
*****,موسم الهجرة إلى الشمال,طيّب صالح,طيّب,صالح,4/18/2012,arabic
***,super sad true love story,gary shteyngart,gary,shteyngart,5/6/2012,english
***,double helix,james watson,james,watson,6/27/2012,english
****,siddhartha,hermann hesse,hermann,hesse,7/27/2012,english
****,freedom,jonathan franzen,jonathan,franzen,8/12/2012,english
**,passage to india,e.m. forster,e.m.,forster,9/14/2012,english
****,story of your life,ted chiang,ted,chiang,10/2/2012,english
***,nadja,andré breton,andré,breton,10/3/2012,english
*****,portrait of mr w.h.,oscar wilde,oscar,wilde,10/28/2012,english
**,peuple du ciel,j.m.g. le clézio,j.m.g.,le clézio,10/30/2012,french
***,ragtime,e.l. doctorow,e.l.,doctorow,11/2/2012,english
***,end of the affair,graham greene,graham,greene,11/8/2012,english
**,invisible,paul auster,paul,auster,11/10/2012,english
****,ficciones,jorge luis borges,jorge,luis borges,11/20/2012,spanish
***,70% acrylic 30% wool,viola di grado,viola,di grado,12/12/2012,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,1/1/2013,english
***,book thief,markus zusak,markus,zusak,1/9/2013,english
****,austerlitz,w.g. sebald,w.g.,sebald,2/10/2013,english
****,dubliners,james joyce,james,joyce,3/7/2013,english
***,historia universal de la infamia,jorge luis borges,jorge,luis borges,3/13/2013,spanish
***,brave new world,aldous huxley,aldous,huxley,3/30/2013,english
****,great gatsby,f. scott fitzgerald,f.,scott fitzgerald,4/9/2013,english
***,perks of being a wallflower,stephen chbosky,stephen,chbosky,4/11/2013,english
***,new york trilogy,paul auster,paul,auster,4/28/2013,english
****,age of innocence,edith wharton,edith,wharton,5/8/2013,english
***,revised fundamentals of caregiving,jonathan evison,jonathan,evison,5/26/2013,english
****,second world war,antony beevor,antony,beevor,5/30/2013,english
***,too big to fail,andrew ross sorkin,andrew,ross sorkin,6/19/2013,english
***,samarkand,amin maalouf,amin,maalouf,6/26/2013,english
***,marriage plot,jeffrey eugenides,jeffrey,eugenides,6/30/2013,english
****,little prince,antoine de Saint-Exupéry,antoine,de Saint-Exupéry,7/9/2013,english
****,de niro's game,rawi hage,rawi,hage,7/9/2013,english
**,inferno,dan brown,dan,brown,7/12/2013,english
****,eating animals,jonathan safran foer,jonathan,safran foer,7/22/2013,english
****,gone girl,gillian flynn,gillian,flynn,8/5/2013,english
***,gospel of judas,simon mawer,simon,mawer,8/20/2013,english
****,naked economics,charles wheelan,charles,wheelan,8/26/2013,english
**,locust and the bird,hanan al-shaykh,hanan,al-shaykh,9/13/2013,english
**,scarcity,sendhil mullainathan and eldar shafir,sendhil,mullainathan and eldar shafir,9/25/2013,english
****,emperor of all maladies,siddhartha mukherjee,siddhartha,mukherjee,10/3/2013,english
***,immortal life of henrietta lacks,rebecca skloot,rebecca,skloot,10/7/2013,english
****,rational choice,itzhak gilboa,itzhak,gilboa,10/25/2013,english
****,rosencranz and guildenstern are dead,tom stoppard,tom,stoppard,10/26/2013,english
****,never let me go,kazuo ishiguro,kazuo,ishiguro,10/27/2013,english
****,better,atul gawande,atul,gawande,11/10/2013,english
***,man in the dark,paul auster,paul,auster,12/4/2013,english
****,heart is a lonely hunter,carson mccullers,carson,mccullers,12/19/2013,english
*****,yellow birds,kevin powers,kevin,powers,1/1/2014,english
**,paradox of choice,barry schwartz,barry,schwartz,1/3/2014,english
****,americanah,chimamanda ngozi adichie,chimamanda,ngozi adichie,2/24/2014,english
***,bad science,ben goldacre,ben,goldacre,3/5/2014,english
***,civilwarland in bad decline,george saunders,george,saunders,3/18/2014,english
**,plot against america,philip roth,philip,roth,3/20/2014,english
*****,heart of the matter,graham greene,graham,greene,3/23/2014,english
*****,"absalom, absalom!",wm faulkner,wm,faulkner,4/29/2014,english
*****,crónica de una muerte anunciada,gabriel garcía márquez,gabriel,garcía márquez,4/30/2014,spanish
****,no place to hide,glenn greenwald,glenn,greenwald,5/20/2014,english
****,bengal nights,mircea eliade,mircea,eliade,6/2/2014,english
*****,sophie's choice,william styron,william,styron,6/21/2014,english
***,power and the glory,graham greene,graham,greene,7/13/2014,english
****,half the sky,nicholas kristoff and sheryl wudunn,nicholas,kristoff and sheryl wudunn,8/20/2014,english
***,let the great world spin,colum mccann,colum,mccann,9/2/2014,english
***,pictures at an exhibition,d.m. thomas,d.m.,thomas,11/1/2014,english
***,goldfinch,donna tartt,donna,tartt,11/16/2014,english
***,physics of wall street,james owen weatherall,james,owen weatherall,12/1/2014,english
***,flash boys,michael lewis,michael,lewis,12/28/2014,english
***,into thin air,jon krakauer,jon,krakauer,12/29/2014,english
***,idealist,nina munk,nina,munk,1/16/2015,english
***,warmth of other suns,isabel wilkerson,isabel,wilkerson,2/1/2015,english
***,elephant vanishes,haruki murakami,haruki,murakami,2/6/2015,english
***,yom kippur war,abraham rabinovich,abraham,rabinovich,4/8/2015,english
****,tenth of december,george saunders,george,saunders,4/12/2015,english
***,in cold blood,truman capote,truman,capote,5/10/2015,english
*****,new jim crow,michelle alexander,michelle,alexander,5/7/2015,english
****,childhood's end,arthur c. clarke,arthur c.,clarke,6/18/2015,english
**,primary colors,anonymous,,anonymous,7/8/2015,english
**,poor economics,abhijit banerjee and esther duflo,abhijit,banerjee and esther duflo,7/25/2015,english
***,postman always rings twice,james m. cain,james m.,cain,8/8/2015,english
*****,season of migration to the north,tayib saleh,tayib,saleh,8/12/2015,english
***,time's arrow,martin amis,martin,amis,8/16/2015,english
,iliad,homer,,homer,9/19/2006,english
,odyssey,homer,,homer,9/20/2006,english
,orestaia,aeschylus,,aeschylus,9/26/2006,english
,oedipus at colonus,sophocles,,sophocles,9/27/2006,english
,antigone,sophocles,,sophocles,9/27/2006,english
,frogs,euripides,,euripides,9/28/2006,english
,bacchae,euripides,,euripides,9/28/2006,english
,symposium,plato,,plato,10/4/2006,english
,phaedrus,plato,,plato,10/4/2006,english
,nicomachean ethics,aristotle,,aristotle,10/10/2006,english
,aeneid,vergil,,vergil,10/18/2006,english
,meditations,marcus aurelius,marcus,aurelius,10/24/2006,english
,confessions,augustine,,augustine,11/16/2006,english
,consolation of philosophy,boethius,,boethius,11/21/2006,english
,song of roland,anonymous,,anonymous,11/29/2006,english
,lais of marie de france,marie de france,marie,de france,11/30/2006,english
,inferno,dante alighieri,dante,alighieri,12/12/2006,english
,purgatorio,dante alighieri,dante,alighieri,12/13/2006,english
,paradiso,dante alighieri,dante,alighieri,12/13/2006,english
,prince,machiavelli,,machiavelli,2/8/2007,english
,courtier,castiglione,,castiglione,2/13/2007,english
,praise of folly,desiderius erasmus,desiderius,erasmus,2/15/2007,english
,three treatises,martin luther,martin,luther,2/15/2007,english
,essais,michel de montaigne,michel de,montaigne,2/20/2007,english
,don quixote,miguel cervantes,miguel,cervantes,2/22/2007,english
,discourse on methods & meditations,renee descartes,renee,descartes,2/27/2007,english
,tartuffe,molière,,molière,3/1/2007,english
,phèdre,racine,,racine,3/1/2007,english
,princess of cleves,mme de lafayette,,de lafayette,3/6/2007,english
,paradise lost,john milton,john,milton,3/8/2007,english
,pride and prejudice,jane austen,jane,austen,4/5/2007,english
,faust,johannes von goethe,johannes von,goethe,4/10/2007,english
,sorrows of young werther,johannes von goethe,johannes von,goethe,4/10/2007,english
,danton's death,georg büchner,georg,büchner,4/12/2007,english
,introductory lectures on aesthetics,hegel,,hegel,4/17/2007,english
,communist manifesto,karl marx,karl,marx,4/24/2007,english
,madame bovary,gustav flaubert,gustav,flaubert,4/26/2007,english
,les fleurs de mal,charles baudelaire,charles,baudelaire,5/1/2007,english
,geneology of morals,friedrich nietzsche,friedrich,nietzsche,5/3/2007,english
****,if on a winter's night a traveler,italo calvino,italo,calvino,9/3/2015,english
****,happy city,charles montgomery,charles,montgomery,7/19/2015,english
***,walkable city,jeff speck,jeff,speck,7/24/2015,english
****,secret history,donna tartt,donna,tartt,6/27/2015,english
****,yellow birds,kevin powers,kevin,powers,5/22/2015,english
**,j,howard jacobson,howard,jacobson,9/19/2015,english
***,narrow road to the deep north,richard flanagan,richard,flanagan,10/1/2015,english
****,tinkers,paul harding,paul,harding,11/10/2015,english
*****,invention of love,tom stoppard,tom,stoppard,11/27/2015,english
*****,between the world and me,ta-nehisi coates,ta-nehisi,coates,12/13/15,english
***,unfinished business,anne-marie slaughter,anne-marie,slaughter,12/9/15,english
**,girl on the train,paula hawkins,paula,hawkins,12/7/15,english
****,little life,hanya yanagihara,hanya,yanagihara,1/1/16,english
***,geography of nowhere,james howard kunstler,james howard,kunstler,1/13/16,english
***,botany of desire,michael pollan,michael,pollan,1/23/16,english
***,reader,bernhard schlink,bernhard,schlink,2/15/16,english
